City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
249,Meulaboh,ID,77.09,overcast clouds,4.1363,96.1285,Kost Pria
256,Surt,LY,81.41,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
260,Touros,BR,76.33,few clouds,-5.1989,-35.4608,INN NEW HORIZON
262,Marion,US,82.74,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
264,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
265,Conceicao Do Araguaia,BR,85.26,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
269,Galle,LK,77.81,broken clouds,6.0367,80.217,Amangalla
270,Westport,US,89.31,overcast clouds,41.1415,-73.3579,The Westport Inn
273,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
276,Sur,OM,89.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
277,Hasaki,JP,82.8,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
280,Hami,CN,85.05,scattered clouds,42.8,93.45,Laoyutang Resort
285,Smithers,CA,87.46,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
286,San Fernando,PH,75.99,broken clouds,15.0286,120.6898,Maharlika Hostel
287,Caceres,ES,78.33,clear sky,39.522,-6.3748,Ahc Hoteles
288,Rafsanjan,IR,77.9,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
299,Monroe,US,78.66,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
300,Dwarka,IN,81.79,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
301,Daru,PG,76.71,overcast clouds,-9.0763,143.2092,Daru Lodge
303,Atlantic City,US,84.02,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
306,Dingle,PH,75.87,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
307,Tokmak,UA,81.07,light rain,47.2514,35.7058,Дом приезжих
308,Puqi,CN,81.82,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
309,Praskoveya,RU,78.8,few clouds,44.7444,44.2031,Old city
311,Tarakan,ID,79.99,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
312,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
315,Portland,US,89.47,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
319,Juegang,CN,85.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
321,Mayo,US,89.46,clear sky,38.8876,-76.5119,Resorts Resource Group International
325,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
327,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
328,Broome,US,80.53,scattered clouds,42.2506,-75.833,Chenango Valley State Park
330,Joaima,BR,76.66,scattered clouds,-16.6542,-41.0306,Pousada LAZO
348,Santa Marinella,IT,78.71,broken clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
351,Athmallik,IN,75.81,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
354,Tera,NE,89.55,broken clouds,14.0078,0.7531,Hotel Daressalam Téra
356,Mahibadhoo,MV,80.4,scattered clouds,3.7833,72.9667,Omadhoo Inn
360,Lardos,GR,82.22,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
363,Coelho Neto,BR,81.99,scattered clouds,-4.2567,-43.0128,Hotel Tejof
364,Grafton,US,83.3,clear sky,42.207,-71.6856,The Grafton Inn
370,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
372,Bambanglipuro,ID,75.38,broken clouds,-7.95,110.2833,Puri Brata
381,San Jose,US,89.26,few clouds,37.3394,-121.895,The Westin San Jose
382,Hope,US,89.65,overcast clouds,33.6671,-93.5916,Best Western Hope
389,Takestan,IR,75.33,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
393,Dzilam Gonzalez,MX,87.71,few clouds,21.2833,-88.9333,posadas
394,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
396,Kapit,MY,75.11,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
403,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
404,Dinard,FR,75.58,clear sky,48.6314,-2.0614,EMERIA Dinard Hôtel Thalasso & Spa
405,Corn Island,NI,81.05,overcast clouds,12.1694,-83.0418,Big Fish Guest House
407,Itarema,BR,77.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
408,Erzin,TR,77.02,broken clouds,36.9559,36.2,Artemis Otel
409,Sorong,ID,76.86,broken clouds,-0.8833,131.25,Waigo Splash Hotel
412,Sokoni,TZ,75.45,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
413,Solsona,ES,75.61,broken clouds,41.994,1.5171,Hotel Sant Roc
414,Varkkallai,IN,80.38,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
417,Acarau,BR,77.88,overcast clouds,-2.8856,-40.12,castelo pizzaria
429,Burhanpur,IN,76.59,overcast clouds,21.3,76.2333,OYO 62728 Vastushilp Guest House
432,Matay,EG,85.21,clear sky,28.419,30.7792,Nag Aespen
440,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
441,Russell,US,83.01,scattered clouds,32.3502,-85.1999,Macs
444,Saint Anthony,US,85.01,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
445,Pedro Ii,BR,78.15,scattered clouds,-4.4247,-41.4586,Opala Hotel
448,Weligama,LK,77.02,broken clouds,5.9667,80.4167,Weligama Bay Resort
449,Sabang,ID,81.9,overcast clouds,5.8933,95.3214,Hotel Citra
453,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
461,Balykshi,KZ,77.0,clear sky,47.0667,51.8667,Гостиница Golden Rose
462,Eyl,SO,78.17,broken clouds,7.9803,49.8164,Amiin Hotel
468,Drayton Valley,CA,78.4,broken clouds,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
470,Stabat,ID,76.24,light rain,3.761,98.4513,Link VII damai
471,San Policarpo,PH,78.21,overcast clouds,12.1791,125.5072,Agapita M. Nicart
473,Kitakata,JP,77.05,overcast clouds,37.65,139.8667,いろり古民家の宿 志ぐれ亭
474,Porto Novo,BJ,75.18,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
476,Waingapu,ID,75.9,few clouds,-9.6567,120.2641,Pondok Wisata Elim
478,Conakry,GN,77.34,moderate rain,9.538,-13.6773,Riviera Royal Hotel
480,Liku,ID,76.71,overcast clouds,-0.7275,119.8922,Kost annisa
482,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
483,Tautira,PF,77.32,light rain,-17.7333,-149.15,Pension Oaoa
484,Firminy,FR,75.7,clear sky,45.3873,4.2907,Hôtel de la Tour et Hôtel du Pole
488,Diu,IN,79.79,overcast clouds,20.7141,70.9822,Hotel Relax Inn
490,Shingu,JP,78.8,light rain,33.7333,135.9833,Shingu UI Hotel
494,Lazaro Cardenas,MX,84.36,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
498,San Jose De Guanipa,VE,85.08,broken clouds,8.8872,-64.1651,Hotel Kariña Guanipa
501,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
502,Yumbo,CO,82.17,scattered clouds,3.5823,-76.4915,Hotel Recreacional El Porvenir
503,Atlanta,US,87.26,few clouds,33.749,-84.388,Residence Inn by Marriott Atlanta Downtown
514,Cockburn Town,TC,81.84,clear sky,21.4612,-71.1419,Osprey Beach Hotel
520,Ascension,US,84.99,scattered clouds,30.2169,-90.9001,Highland Inn
521,El Tigre,VE,84.43,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
523,Popondetta,PG,78.28,overcast clouds,-8.7537,148.2534,Timos Transit House
527,Vanimo,PG,78.67,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
529,Kathu,TH,78.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
536,Eden,US,85.82,overcast clouds,36.4885,-79.7667,Hampton Inn Eden
538,Banjar,ID,75.74,broken clouds,-8.19,114.9675,The Hamsa Resort
539,Manggar,ID,81.16,overcast clouds,-2.8833,108.2667,Guest Hotel
542,Gazanjyk,TM,82.78,clear sky,39.2446,55.5154,Railway motel
544,Bayir,TR,75.72,few clouds,37.2687,28.2167,Hotel Babadag
545,Nichinan,JP,82.08,overcast clouds,31.6,131.3667,Guest House Aki
549,Fergus Falls,US,75.18,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
552,Donghai,CN,77.65,overcast clouds,22.9459,115.642,Huacheng Restaurant
558,Irbil,IQ,88.16,clear sky,36.1926,44.0106,Erbil International Hotel
560,Gravelbourg,CA,82.45,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
563,Hohhot,CN,75.29,broken clouds,40.8106,111.6522,Sheraton Hohhot Hotel
566,North Battleford,CA,86.4,overcast clouds,52.7834,-108.2847,Tropical Inn
567,Volzhskiy,RU,81.23,broken clouds,48.7858,44.7797,ApartLux na Prospekte
568,Meiktila,MM,75.56,moderate rain,20.8667,95.8667,The Floral Breeze Wunzin Hotel
570,Bani,DO,85.44,clear sky,18.2833,-70.3333,Hospedaje Henriquez
572,Digha,IN,77.83,overcast clouds,21.6833,87.55,Khoniker Atithi
575,Bachaquero,VE,88.05,overcast clouds,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
577,Huilong,CN,85.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
583,Yinchuan,CN,77.22,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
584,Chillicothe,US,79.11,scattered clouds,39.3331,-82.9824,Holiday Inn Express Chillicothe East
585,Sao Miguel Do Araguaia,BR,78.6,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
586,Veraval,IN,80.55,overcast clouds,20.9,70.3667,Lords Inn Somnath
587,Nabire,ID,75.07,broken clouds,-3.3667,135.4833,Hotel Nusantara I
591,Mazagao,BR,86.05,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
593,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
594,San Quintin,MX,77.49,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
595,Tarbes,FR,81.07,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
597,Basco,PH,84.27,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
601,Codajas,BR,85.71,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
609,Tuy Hoa,VN,77.47,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
614,Maues,BR,84.97,overcast clouds,-3.3836,-57.7186,Hotel Miramar
617,Caucasia,CO,83.71,overcast clouds,7.9865,-75.1935,Hotel San Rafael
619,Kavieng,PG,81.32,light rain,-2.5744,150.7967,Nusa Island Retreat
620,Ammon,US,88.3,smoke,43.4696,-111.9666,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
625,Villanueva,HN,86.99,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
626,Jacareacanga,BR,84.97,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
629,Vaitape,PF,78.26,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
631,Bafq,IR,80.82,clear sky,31.6128,55.4107,Alamdar Hotel
638,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
644,Mana,GF,80.15,scattered clouds,5.6592,-53.7767,LE SAMANA
645,Xuanwu,CN,83.17,overcast clouds,32.069,118.8138,东方珍珠饭店
647,Akyab,MM,78.55,light rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
649,Guerrero Negro,MX,82.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
