City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,New Norfolk,AU,2022-08-11 19:47:34,-42.7826,147.0587,43.72,81,96,0.89
150,Salinopolis,BR,2022-08-11 19:47:35,-0.6136,-47.3561,81.48,76,100,10.33
151,Carnarvon,AU,2022-08-11 19:47:35,-24.8667,113.6333,59.7,34,0,15.99
152,Mitsamiouli,KM,2022-08-11 19:47:35,-11.3847,43.2844,75.13,73,1,6.22
153,Saldanha,ZA,2022-08-11 19:47:36,-33.0117,17.9442,55.45,87,100,9.91
154,Dingle,PH,2022-08-11 19:47:36,10.9995,122.6711,75.74,89,75,1.3
155,Bonavista,CA,2022-08-11 19:47:36,48.6499,-53.1147,58.39,80,91,11.81
156,Hobyo,SO,2022-08-11 19:46:34,5.3505,48.5268,76.46,80,63,25.93
157,Tuktoyaktuk,CA,2022-08-11 19:47:37,69.4541,-133.0374,53.6,82,100,20.71
158,Leningradskiy,RU,2022-08-11 19:47:37,69.3833,178.4167,47.37,80,97,2.3
159,Muros,ES,2022-08-11 19:47:37,42.7762,-9.0603,70.09,91,46,1.81
160,Port Lincoln,AU,2022-08-11 19:47:38,-34.7333,135.8667,54.23,78,98,18.16
161,Upernavik,GL,2022-08-11 19:47:38,72.7868,-56.1549,41.95,79,100,9.08
162,Belaya Gora,RU,2022-08-11 19:47:38,68.5333,146.4167,56.26,72,71,14.63
163,Fortuna,US,2022-08-11 19:47:39,40.5982,-124.1573,68.94,82,100,8.05
164,Kosa,RU,2022-08-11 19:47:39,59.9445,54.9977,52.45,79,3,6.89
165,San Patricio,US,2022-08-11 19:47:39,28.017,-97.5169,98.17,46,100,4.52
166,Visalia,US,2022-08-11 19:43:38,36.3302,-119.2921,97.18,17,40,2.73
167,Fort Nelson,CA,2022-08-11 19:45:16,58.8053,-122.7002,56.79,72,75,4.61
168,Novyy Yarychiv,UA,2022-08-11 19:47:40,49.9044,24.3052,59.43,80,31,4.68
169,Naryan-Mar,RU,2022-08-11 19:47:41,67.6713,53.087,57.79,94,100,19.01
170,Kemijarvi,FI,2022-08-11 19:47:41,66.7131,27.4306,53.8,68,93,10.42
171,Isangel,VU,2022-08-11 19:47:41,-19.55,169.2667,69.96,61,6,14.25
172,Te Anau,NZ,2022-08-11 19:47:42,-45.4167,167.7167,28.96,92,28,1.12
173,Vincennes,FR,2022-08-11 19:46:52,48.85,2.4333,83.89,31,0,9.22
174,Saint-Joseph,RE,2022-08-11 19:47:42,-21.3667,55.6167,64.2,68,36,13.0
175,Rawson,AR,2022-08-11 19:47:42,-43.3002,-65.1023,60.55,35,10,10.49
176,Seoul,KR,2022-08-11 19:43:38,37.5683,126.9778,74.59,97,40,1.14
177,Vila Velha,BR,2022-08-11 19:47:43,-20.3297,-40.2925,76.95,64,0,13.8
178,Port Augusta,AU,2022-08-11 19:47:43,-32.5,137.7667,47.68,94,57,4.09
179,La Rioja,ES,2022-08-11 19:47:43,42.25,-2.5,73.18,52,18,7.36
180,Never,FR,2022-08-11 19:47:44,46.9896,3.159,80.35,33,0,4.94
181,Mmabatho,ZA,2022-08-11 19:47:44,-25.85,25.6333,61.03,24,0,8.05
182,Lang Son,VN,2022-08-11 19:47:44,21.8333,106.7333,72.48,99,89,0.96
183,Kindu,CD,2022-08-11 19:47:45,-2.95,25.95,76.53,33,68,0.74
184,Cherskiy,RU,2022-08-11 19:47:45,68.75,161.3,60.51,61,95,6.46
185,Huarmey,PE,2022-08-11 19:47:45,-10.0681,-78.1522,68.25,70,15,9.89
186,Gat,IL,2022-08-11 19:47:46,31.61,34.7642,81.28,100,0,6.33
187,Bani Walid,LY,2022-08-11 19:47:46,31.7566,13.9942,79.63,63,0,11.77
